Where do you live?	I live in Pasadena.
Oh, it went really well. Thanks for helping me with it!	No problem. So, do you feel like studying tomorrow for our math exam?
Yeah, sure! Come over around 10:00, after breakfast.	All right. I'll bring my notes.
Can I help you?	Yes, I'm looking for a sweater - in a size medium.
Let's see. Here's a nice white one. What do you think?	I think I'd rather have it in blue.
OK, here's blue, in a medium. Would you like to try it on?	OK, yes. I love it. It fits perfectly. How much is it?
It's $50. It will be $53, with tax.	Perfect! I'll take it.
Should we take a taxi or a bus to the mall?	Let's take a bus. It's impossible to get a taxi during rush hour.
Isn't that a bus stop over there?	Yes. Oh! There's a bus now. We'll have to run to catch it.
Oh, no! We just missed it.	No problem. There'll be another one in 10 minutes.
I'm really excited for Aunt Mary's surprise birthday party this afternoon! Aren't you?	Yeah! How old is she?
She'll be 55 on May 14.	Wow! I didn't know that my mom was older - she's going to be 57 on September 2. Anyway, Aunt Mary's going to be so surprised to see us all here!
I know! But we still have to get all the food set up before she gets here , OK! We're all ready now. Shh! She's here!	Surprise!
We'd like two tickets for the 3:30 show, please.	Here you go. Enjoy the movie!
Would you mind moving over one, so my friend and I can sit together?	No, not at all.
No, not at all.	Thanks a lot!
So, what should we do?	Well, I like to do arts and crafts, and I'm really good at drawing. What do you think?
Hmm, how about playing a board game? That would be more fun.	OK. Let's play Scrabble! I'm really good at spelling, too!
OK. Let's play Scrabble! I'm really good at spelling, too!	Oh, yeah? We'll see about that!
What time is that soccer game on? I thought it started at noon.	We must have had the wrong time. Oh, well, soccer's not my favorite sport anyway. I much prefer basketball.
Oh, really? I thought your favorite sport was tennis! I'm a big fan of basketball, too.	How about a game sometime?
Sure thing! Why don't we go shoot some hoops now since the soccer game isn't on?	Excellent idea. Let's go.
What a fantastic performance! Thank you for inviting me to the musical.	You are welcome. I'm happy you enjoyed the show. The choreography of the dancers was incredible. It reminds me of when I used to dance.
I know! You were such a talented ballerina. Do you miss dancing?	Oh, that's very kind of you, Shannon. I do miss it sometimes. But I will always be a fan of the arts. That's why I love going to musicals because it's the perfect combination of song, dance and theater.
Absolutely! I'm glad you are still an art fan too.	Thank you for the invitation. It's always a pleasure to attend an arts event with you and learn something new.
I just bought a ticket to New York City. I'm so excited to see the city!	Good for you! Traveling is so much fun. I love discovering new places and new people. When are you leaving?
Next week. I'm taking the red eye. It was cheaper. Hopefully, I'll be able to sleep on the plane.	I wish I could go with you! New York City is a magical place. You will have so much fun.
I hope so. I'm going to visit my brother who lives there. I will stay for a week and then take the train down to Washington, D.C.	That sounds like a great vacation. I'm looking forward to a week at the beach for my summer vacation. I just want to relax.
Oh! What a beautiful cat. What do you think?	I think I'd rather get a dog. Dogs are more loyal than cats.	Yes, but they're so much work! Would you be willing to walk it every single day? And clean up after it?
I think I'd rather get a dog. Dogs are more loyal than cats.	Yes, but they're so much work! Would you be willing to walk it every single day? And clean up after it?
Hmm. Good point. What about a bird? Or a fish?	We'd have to invest a lot of money in a cage or a fish tank. And I don't really know how to take care of a bird or a fish!
Well, we're obviously not ready to get a pet yet.	Yeah, you're right. Let's go grab some coffee and talk about it.
Where should we take a vacation this year? Let's decide soon.	Well, I'd like to go somewhere warm. How about the beach? Or we could rent a cabin on the lake.
You want to go to the beach, again? I want to ski this winter. How about a compromise? What about traveling to the Alps in Europe next April? We can find a ski resort on a lake.	Oh, we've never been to Europe before! But I don't know if it will be sunny and warm then. I need to do some research first. That will help me make up my mind.
I'm so happy this week of midterm exams is finished.	Same here. I'm looking forward to relaxing in the mountains this weekend. I've planned a little hike in the woods. And I'm gonna take a canoe trip down the river if the weather cooperates.
Oh, fun! I'm going to Michigan. I'm taking my camera because fall is coming fast. The leaves are already turning all shades of red and orange. It will be awesome.	Next time you go there, I'll join you. I've heard Michigan is a great place to go canoeing.
Doesn't the bride look beautiful in that wedding dress?	Yes. She looks amazing. And the groom is so romantic. I just heard the story of how they got engaged! He proposed to her during a candlelight dinner in London. Did you know that was where they went to school?
Oh? Wonderful. And the honeymoon! What a great idea! Most people just go to the beach for a week after they tie the knot. But they plan on heading to California and cruising the coast on their motorcycle.	Really! What a fantastic idea. This is by far the best wedding I've ever been to.
Thanks for meeting with me during your lunch hour. I appreciate it.	No problem. I'm happy to help. What's going on?
Oh you know, the usual. Should I take this new job? Or do I stick with my current one?	Well, I think it's time for a change, don't you? They pay you late and you are unhappy.
Do you really think so?	I know so. And I've been listening to you complain for over a year now. Trust me. Take the job. What do you have to lose?
Hello, my name is Bob.	I am Vicky. Nice to meet you.
Where are you from?	I am from San Francisco. How about you?
I am from Washington.	What are your hobbies?
What are your hobbies?	I like cooking and skateboarding.
How are you?	I am fine. Thank you. How do you feel today?
I feel great. I did well on my English test.	Great! Good for you. What are you doing tonight?
Nothing special.	What about going out to eat?
What about going out to eat?	Sounds great. I am excited!
Would you please pass the salt? Thank you.	You are welcome.
May I please have some more water?	Okay, there is more in the kitchen.
Excuse me. I need to wash my hands.	The bathroom is just down the hall.
Please remember to be polite when you eat dinner.	I will try not to be rude. Thank you.
How big is your family?	There are 6 people in my family.
How many brothers and sisters do you have?	I have 1 brother and 2 sisters.
Wow, you have a nice family!	Thank you. Tell me about your family.
Thank you. Tell me about your family.	I have my parents and one brother.
How are you doing?	Great! What about you?
I'm doing well. What have you been doing lately?	I have been studying English. And you?
I have been hanging out with my friend. Have you seen Tess? I heard she had an argument with her boyfriend.	Yes, I heard about that. Did they make up yet?
Yes, I heard about that. Did they make up yet?	I don't know. I need to go. We'll talk more later. Goodbye.
How was work today?	It was very busy.
When does your project end?	It ended today.
Are you going to be busy tomorrow?	Yes, I have a business trip tomorrow, so I need to wake up early.
Really? How long will the commute be?	About three hours. I am going to bed now.
Mom, may I play with my friends?	First, we need to clean the house.
What should I do?	Please sweep the floor and wipe the table.
Okay, I can do that.	After sweeping, please vacuum and take out the garbage.
Hello?	Hello, this is Bill. May I speak to Jan?
I am sorry. You have the wrong number.	Oh, I am sorry.
Hello, is John available?	I'm sorry. John is not here. Would you like to leave a message?
Yes. Tell him that Jack called. Thank you.	Thanks for calling me back, John.
No problem. I'll see you tomorrow.	Okay, bye.
How many legs does an octopus have?	An octopus has 8 legs.
Does a snake have a nose?	No. It does not.
Then, how can they smell?	They use their tongue.
My throat hurts and my nose is running.	You must have a bad cold.
Are you feeling sick?	Yes, I caught a cold.
Did you see a doctor?	Yes, the doctor gave me some medicine.
I hope you get better soon.	Thanks. Take care of yourself too.
How is the weather today?	It is sunny and warm.
I like this kind of weather. What's your favorite kind of weather?	I like cool and windy weather.
Why?	Because it makes me happy.
Do you know what the weather will be like tomorrow?	I do not know. I hope it will be warm.
What do you want for lunch today?	Hmm, I like Italian food.
I like Italian food, too. Let's go to an Italian restaurant.	Is there some fast food around here?
I think so. I'm pretty hungry.	Lets hurry then. How about a Big Burger? What do you think?
Lets hurry then. How about a Big Burger? What do you think?	Sounds good. Let's go.
What is your favorite season?	I like winter.
Why do you like winter?	Because I can build a snowman. What is your favorite season?
I like all the seasons, but I like summer best.	Why?	Because I like to swim in the ocean.
Is Meg inside?	No, she is outside by the tall person.
Is the tall person a boy?	No, the tall person is a girl.
Is she wearing a black shirt?	No, she is wearing a white shirt.
No, she is wearing a white shirt.	Oh, I see her! Thank you.
It is time to get up!	Really? What time is it?
It is seven thirty. Hurry! School starts in an hour.	Don't be late!
How long does it take to get to school?	It takes about fifteen minutes by train, but thirty minutes by bike.
What time does the train leave?	In about twenty minutes.
In about twenty minutes.	Oh no! I need to hurry!
Hi! Where do you want to go?	Please take me to the Art Center.
I am sorry. I do not know where it is.	That's okay. Go north across the bridge and turn right at the post office.
Oh, I remember. It is between the hospital and the hotel.	That is right.
Have you ever been to Russia?	No, I have not. How about you?
Yes. Let me show you some pictures.	That's great. I want to travel too.
Where do you want to go?	I want to travel to America.
I want to travel to America.	If you go, please bring me back a souvenir.
When is your birthday?	My birthday is on November 18th.
Will you have a party?	Yes, I will have candy and decorations and ice cream.
Wow, that will be fun. May I come?	Sure! Bring a friend.
How do you celebrate Christmas?	My family gets together and opens presents on Christmas morning.
That's great!	What do you do?
My family has a big dinner.	That sounds like fun!
Wow! Look at that rainbow!	That is beautiful!
There are so many colors in one place.	Yes, there are. Red, orange, yellow. What's your favorite color?
I like green.	So do I. But I also like yellow a lot.
Do you see those yellow stars?	Yes. The stars look so small in the black sky.
Yes. The stars look so small in the black sky.	The moon looks like a big white circle in the sky.
What are your hobbies?	I like playing the violin and singing songs. What about you?
My favorite thing to do is listen to music.	What is your least favorite thing to do?
I do not like dancing very much.	Really? I did not know that.
Did you iron your shirt?	Yes, but I cannot find my watch.
Did you look in your room?	Oh wait, I found it! It was in my pocket.
Good. Do not forget your bag.	I will not. It is right by my shoes.
School is hard this year.	What subjects are you taking?
Math, history, music, and art.	What's your favorite subject?
Music is my favorite.	What's the hardest subject?
What's the hardest subject?	My hardest subject is math.
What do you want to do when you grow up?	I want to be a doctor.
Do you have any other dreams?	I want to marry and have a good family. How about you?
My dream is to be a movie star.	Why?	Because I want to be rich and famous.
Where are you going on vacation?	My family is going to Seoul.
Are you going by airplane?	We want to, but it is too expensive. We're going by car.
How long does it take?	Around 11 hours.
Wow. Make sure you don't fall asleep.	I will be careful. See you next week.
How many jobs have you had since leaving university?	I've worked for six companies.
Why have you changed jobs so often?	I wanted to earn more money.
What have you done that shows leadership?	Well, I lead the sales team. I'm also chairperson of a local business association.
What are your strengths?	I'm fluent in Italian and Spanish. I'm good at training sales staff and I get on well with people. I think I'm very good at organizing seminars for customers.
In what ways has your job changed since you joined the company?	I now have more responsibility and work longer hours.
What mistakes have you made?	I'm not patient when people don't meet deadlines.
Have you ever worked with a difficult person?	Well, the boss in my last company wasn't easy to work with.
How many jobs have you had since leaving university?	I've worked for six companies.
Why have you changed jobs?	I wanted to earn more money.
What are your strengths?	I'm good at training sales staff and organizing seminars for customers.
Today we are talking to Philip Knight about the structure of Biopaints International. Philip is the General Manager of the Perth factory. Philip, do you think you could tell us something about the way Biopaints is actually organized?	Yes, certainly. We employ about two thousand people in all in two different locations. Most people work here at tour headquarters plant. And this is where we have the administrative departments, of course.
Well, perhaps you could say something about the departmental structure?	Yes, certainly. Well, now first of all, as you know we've got two factories, one here in Perth, Australia, and the other in Singapore. Lee Boon Eng is the other General Manager, over there in Singapore.
And you are completely independent of each other, is that right?	Oh, yes. Our two plants are fairly independent. I mean, I am responsible to George Harris, the Production Manager, and we have to co-operate closely with Rosemary Broom, the Marketing Manager.
Mmm, yeah.	But otherwise, as far as day to day running is concerned, we're pretty much left alone to get on with the job. Oh, and I forgot to mention finance. The Finance Director is Weimin Tan. She's a very important woman. And her task is to make sure the money side of things is OK. The accountant and such people, they report to her directly.
Is that all?	Oh, no, no. There's Personnel too.
Oh, yes.	That's quite separate. Deirdre Spencer is Personnel Manager. And the Training Manager reports to her, of course.
Are there any other features worth mentioning?	There's the planning department Brian Jones is in charge of that. And a purchasing department they buy in the materials for production.
Well, perhaps you could say something about the departmental structure?	Yes, certainly. We've got two factories, one here in Perth, Australia, and the other in Singapore.
And you are completely independent of each other, is that right?	Oh, yes. Our two plants are fairly independent. I am responsible to George Harris, the Production Manager, and we have to co-operate closely with Rosemary Broom, the Marketing Manager.
Why should companies be ethical or what are the advantages of a company in behaving ethically?	Mmm, I think the whole issue of ethics is a very complex one. Companies are made up of people. Multinationals are made up of many different nationalities. I think that companies are part of society and as such they should reflect society's standards. Companies, especially multinational ones, do have responsibilities in the world and should try to be positive influence and I think if a company is not ethical, then it will not survive as a company.
Should a company have a code of ethics?	I think, from my point of view, it's useful on two counts. Firstly, it makes a commitment to certain good behavior and so it's a way of communicating the importance of good behavior to all of its employees and partners. Secondly, if a company has a code of ethics and spends time communicating it, it does actually contribute to it's ethical behavior. If you express these things in writing, especially, then you can be held accountable for them. This tends to mean that you are much more likely to act on them as well. I think following up that code is difficult. People tend to have different ethical standards, and defining the term 'ethics' can be a problem. But I think generally to express what your ethics are is a positive thing to do.
What kinds of moral dilemmas do large companies face? Can you think of any examples?	I think if you were to look at any company's ethical code, you would usually find in it a section about offering bribes and this can be an area where people can get themselves into hot water. Facilitation payments are part of doing business in many countries, and bribes are something which most companies are not going to want to get involved in. But when does a facilitation payment become a bribe? And that is a question that can be quite difficult to answer.
Why should companies be ethical?	I think that companies should be ethical because they are part of society and as such they should feflect society's standards.
Should a company have a code of ethics?	From my point of view, if a company puts its code of ethics in writing, it is more likely to act on it, But I think generally to express what your ethis are isa positive thing to do.
John, you don't like your colleague. Why is he so difficult to work with?	He doesn't know how to motivate staff. The atmosphere in the office is really bad. He is very rude to customers and colleagues. We have had lots of complaints about his behavior.
How does he manage his staff?	Very badly. He doesn't know how to manage people. He doesn't support his staff at all, and he blames everyone else for problems.
How long has he been with the company?	Well, he has worked with me for five years.
What is he good at?	Well, he is very punctual. And he is very practical, too.
Is he still with the company?	No, he's not. He recently shouted at a customer in the office. Because of that, has to go; the company just fired him.
Why was he so difficult to work with?	He didn't know how to motivate staff. We had lots of complaints about his behavior.
How did he manage his staff?	Very badly. He didn't support his staff at all, and he blamed everyone else for problems.
Marjorie Scardino, you are leading one of the top companies in the UK, and you've been voted businesswoman of the year. What qualities do you need to run a large company effectively?	Well, I think different companies probably require different qualities, but for me there are only a few simple qualities that cut across all requirements, and those are courage and imagination and empathy. By empathy, I mean, having the ability to put yourself in other people's positions and understand how they feel about situations and ideas.
Which business leaders do you admire and why?	I think the best business leaders are probably ones we don't know about,not the stars we read about in the newspapers. I think they're probably the ones who have great business ideas and have see them through to fruition. So the business leaders I most admire right now are those managers in Pearson who are achieving our goals of double-digit earnings growth.
What do business leaders actually do?	My staff would probably say this was a really excellent question they ask themselves every day! I think what they do is just what I've said the business leaders I admire do. They create a business idea, and they see it through.
As a leader, how do you motivate your employees?	I'd like to think we motivate each other. I think my job is to make sure the company has a purpose, because I think people like to work for a company that has a reason for being, that they can identify with and feel good about. I think that I have to communicate well with them everything that's going on and everything I'm trying to do in a clear way. And then in return I think they inspire me to think more adventurously and to think more carefully about how to stimulate them and how to build a better business. So it's a sort of a circular operation.
Do you think leaders are born or made?	I think it's probably a bit of both. All human beings obviously are born with certain qualities, and certain genetic traits. But I've seen so many people in my life who have, using those basic qualities, re-invented themselves several times as they've gone into new situations. You know, you're a certain kind of person when you're in school, and your friends know who you are, and you get slotted in. And then as you grow up, you go into new situations and become somebody else.
What qualities do you need to run a large company effectively?	I think there are only a few simple qualities that cut across all requirements, and those are courage and imagination and empathy.
Which business leaders do you admire?	The business leaders I most admire right now are those managers in Pearson who are achieving our goals of double-digit earnings growth.
What do business leaders actually do?	They create a business idea, and they see it through.
I think we should do a lot more to improve our staff's health and fitness. What do you think, Monica?	I agree. There are all sorts of things we could do to help staff to become more healthy and stay healthy. For one thing, we could offer them a free medical checkup every year.
Right. That's a good idea. A lot of firms do that. And how about having a no-smoking policy in the staff restaurant? What do you think about that?	Mm, I don't think I like the idea very much. It wouldn't be good for morale. A lot of our staff smoke. They'd be against it. I'm sure of that. I think we should improve the food. A lot of dishes aren't healthy. There's far too much fatty food, not enough fish, fruit and vegetables.
True. We could change the menus and offer healthier meals. I like that idea.	What about setting up a counseling service, Vincent? Some staff are under a lot of stress. It affects their work and they need professional help.
What about setting up a counseling service, Vincent? Some staff are under a lot of stress. It affects their work and they need professional help.	I don't know, Monica. It'd be very expensive to set up a service like that. Anyway, we have a company doctor. That's her job, isn't it?
I think we should do a lot more to improve our staff's health and fitess. What do you think?	I agree. For one thing, we could offer them a free medical checkup every year.
Right. That's a good idea. And how about having a no-smoking policy in the staff restaurant?	I don't think I like the idea very much. It wouldn't be good for morale. What about setting up a counseling service ?
What about setting up a counseling service ?	I don't know, Monica. It'd be very expensive to set up a service like that.
We need to decide exactly when we're going to move. Any suggestions?	I think July would be the best time. It's very quiet then, isn't it?
You mean, we don't do too much business then.	Exactly. Our sales are always down that month and quite a few staff are away on holiday. We could move all the office equipment at the weekend. Do everything at once. That's the best way.
I think we should take longer to move. A weekend's too short. In my opinion we should do it department by department.	How do you mean, exactly?
Well, each week a different department would move. That way, there would always be people here who could handle customer enquiries, phone calls, and so on.	Hmm, I see what you mean. Maybe it would be better to phase the move over several weeks. Of course, we'll have to keep our staff informed at every stage of the move. We can do that mainly by internal e-mail. Now, moving on to the question of transport. We've contacted two companies, National Transport and Fox Removals.
Sorry, could I just comment on that, Mark?	Certainly.
I don't think it would be a good idea to use National. I've heard one or two things about them. I don't think they're too reliable. But Fox would be fine. They've got an excellent reputation in the trade.	OK, perhaps it would be better to use Fox then. You know, there's another possibility. We could get our own people to do the moving.
What? You think our transport department could do the job?	Why not? They're not too busy in July.
Why not? They're not too busy in July.	I don't think that's a good idea. This is a really big job. We need a specialized firm for that like Fox. They've got the experience and will do a good job, even if it does cost us a bit more. Also, Fox offers a free consultation service.
Now, moving on to the question of transport. We've contacted two companies, National and Fox.	Sorry, could I just comment on that?
Certainly.	I don't think it would be a good idea to use National because they're not reliable.
I don't think it would be a good idea to use National because they're not reliable.	OK, perhaps it would be better to use Fox then.
Hello. Becker here.	Good morning, Mr. Becker! This is Valentina Santinelli calling from GFS. I'm sorry to call you like this.
Oh, that's all right.	Did you receive our January shipment?
Yes, we did.	When did it arrive?
It arrived on the 25th of January.	Are all the things you ordered included?
Yes, thank you, yes.	Did you get the invoice as well?
Yes.	And, er, have you paid the invoice for the last shipment yet?
I'm afraid we haven't managed	Because I haven't got a record of the payment and our department was just getting a bit worried about it.
Yes, money is very tight at the moment, you see.	Of course.
I'd like to ask for an extension of credit.	Ah.
Ah.	You see, we have a considerable overdraft.
Have you paid the invoice for the last shipment?	I'm afraid we haven't managed it yet.
Is there any problem?	Yes, money is very tight at the moment.
If we buy more than 500 cases of the Reserve, what discount can you offer us?	On 500, nothing. But if you buy 1000 cases, we'll offer 15%.
Let me think about that. Now, if I place an order for 1000, will you be able to dispatch immediately?	I don't know about immediately, but certainly this month.
Well, if you get it to us before the Christmas rush, it'll be OK. I'll take it if your prices include insurance.	Actually, no. You'd be responsible for that. If you can increase your order, then we'd be willing to cover insurance as well.
I'll need to do some calculations.	Let's look at methods of payment. Since we've not dealt with you before, we'd like to be paid by banker's draft.
Well, this is a large order. We've done business with many well-known wine producers and we've always paid by letter of credit.	OK. If we agree to your paying by letter of credit, then you'll have to pay us within 30 days.
OK. If we agree to your paying by letter of credit, then you'll have to pay us within 30 days.	That should be fine.
If we buy more than 500 cases of the Reserve, what discount can you offer us?	On 500, nothing. But if you buy 1000 cases, we'll offer 15%.
If I place an order for 1000, will you be able to dispatch immediately?	Sure. I don't know about immediately, but certainly this month.
Do the prices include insurance?	If you can increase your order, then we'd be willing to cover insurance as well.
Hello.	Hi, Fiona. This is Martin. How are things going?
Fine, thanks.	I haven't received your sales report yet for the quarter. Any problems?
Oh, no. Sorry, Martin. I've been really busy lately. But I can tell you, we've had excellent results.	Good.
Yeah. We've met our sales targets and increased our market share by two percent. Our total sales were over $1.2 million.	Over $1.2 million. Great! Well done! What about the new range of shampoos?
Well, we had a very successful product launch. We spent $30,000 on advertising it.	Sorry, did you say $13,000?
No, $30,000. We advertised in the national press, took out space in trade magazines and did a number of presentations to our distributors. It was money well spent. We've had a lot of orders already and good comments from customers.	I'm really pleased to hear that.
I haven't received your sales report yet. Any problems?	Oh, no. Sorry. I've been really busy lately. But I can tell you, we've had excellent results.
Good.	We've met our sales targets. Our total sales were over $1.2 million.
Over $1.2 million. Great! Well done! What about the new range of shampoos?	Well, we had a very successful product launch. We spent $30,000 on advertising it.
Sorry, did you say $13,000?	Yes, that's right.
Now let's think about the preparation for the presentation. What do you have to prepare for it?	The most important thing is to know about the audience, find out about...
Yes, but you need to make sure of your objectives first, so decide on the objectives-what you want the talk to achieve.	Yes, but to do that, you need to know about the audience their knowledge, what they want to know, everything like that.
Yes, all that's important.	Yes, true.
So, audience and objectives.	Yesi, right.
Then the third thing is you have to go through the content, gather information, organize it, decide on a structure.	Yes, get a good structure, I agree. Then once the structure is okay, you need visuals, any graphs and that sort of thing.
Yes, the visual supports.	Then, well, you could write it all out. At least the introduction-just to practice it. Some people write out everything, some don't. It depends.
Yes, I think that's a good point. But practice is really very important. A key part of the preparation is to actually practice it, to give the presentation practice, until you could do it just from notes. Then, what else?	Check all the language, keep it simple, make sure there's no mistakes on the visuals. Spelling and all that.
And I think you should check that the room is okay and the equipment.	Yeah,imaging, no slide projector, or...
Yeah,imaging, no slide projector, or...	Or the overhead hasn't got a bulb in it.
Now let's think about the preparation for a presentation. What do you have to do to prepare for it?	The most important thing is to know about the audience.
Yes, I agree.	And secondly, you need to know about the audience.
And secondly, you need to know about the audience.	Yes, all that's important.
Good, everyone's here now. There's coffee if you want it. Right, can we start please? As you all know, Roberto's been working as assistant to Carla Nuñez for six months now. He's just finished his probationary period. How do you feel about offering him a full time contract?	I'm not sure we should do it really. It says in this report that he's been late to work a few times and he can be rather...
Oh I don't think that's too important.	Could you let her finish please?
Oh, sorry, I didn't mean to butt in...	Another thing about Roberto I'm not happy about: he leaves exactly on time every day. Also, he doesn't have lunch with us very often, you know, he goes off on his own.
I'm not sure that's relevant.	Mmm, maybe.
What about his actual work? In my opinion, it's fine. He's done some really good things.	Well, I think we should discuss this a bit more. What exactly do you mean by 'good things'?
He works very hard for Carla, and he is excellent with customers.	And he is always very sociable in the office.
And he is always very sociable in the office.	Well, thanks very much. You've all made your views very clear. I think it would be good to keep Roberto on a probationary period for a further three months. We can re-evaluate after that.
How do you feel about offering him a full time contract?	I'm not sure we should do it really. It says in this report that he's been late to work a few times.
Oh I don't think that's too important.	Could you let her finish please?
Oh, sorry, I didn't mean to butt in.	Another thing I'm not happy about is he leaves exactly on time every day.
Let us talk about the yogurt deliveries for the Central European market and the North European market.	Yes, sure.
Is that OK?	Yeah, for the North European market, I can deliver the yogurt fairly quickly.
The North European area is not going to be a problem, I have approval. But I need to know about the Central European area.	Ok, what do you need to know?.
I am sure we can do a good job.	Yeah, but you will have to give me some idea about amounts or quantities, because that way it is easier to get it through our organization, you know. They need sometimes time, but if they know something about quantity, they will be more interested.
Well, I can't say exactly. They depend on price and quality.	Oh, yes, of course.
If you like, I'll send you a fax and I shall be very open.	Yes.
I can put in writing to you, that, say, in quantity terms, that we can take two thousand depending on the price and quality. And then if you come back to me by fax, I can tell you in my fax what I think. And I can tell you, if your quality is not good and your prices are not competitive, then that'll be the end of our business.	Sure, of course, I understand. But if the quantity is interesting, I am sure that our organization.
In that case.	Mrs. Eichelberger, I'm sure we can be flexible, because we need, and want figures, or quantities.
I, that is, we are not talking less than one thousand tons.	Good.
I am ready to say even a minimum of one thousand tons.	Yes, good.
But what if the matter is pushed through quickly? Will everything be OK?	Yes, of course.
Perhaps things will move too fast for you and then maybe we'll find that the prices you are quoting us are much too high and the quality is not good and then...	And then you will have to tell us.
Yes, then maybe we will stop the order, I tell you, because of that.	Yes, I see.
And so can't you let us have one thousand tons now?	That might not be easy, because...
You don't want to do it, that's all.	It depends, you see.
It depends, you see.	OK, then, we'll give you time to decide. How long do you need?
You will have to give me some idea about amounts or quantities.	Well, I can't say exactly. That depends on price and quality.
Oh, yes, of course.	If you like, I'll send you a fax.
I'll never forget the trouble we had with that face cream. We launched it and you know it was a real winner. I mean, it was going really well.	Hmm, great.
When suddenly people started phoning and complaining it was burning their skin.	Burning their skin? You mean, like a kind of allergy.
Yeah, it was making red marks on their faces. The newspapers heard about it and wanted to know what we were doing about it.	Huh, typical. They don't exactly help, do they? So what did you do?
We didn't know what to do. You see, we'd tested it for over six months, and there'd been no bad reaction to it.	So what was the problem?
Well, we'd invested a lot in the product and the launch. I mean, you know what advertising costs are these days, then suddenly the number of complaints doubled in the space of a week or so.	Doubled? Incredible? Did you manage to keep it quiet?
Doubled? Incredible? Did you manage to keep it quiet?	No, our Managing Director got more than a bit worried. Said all this was harming the company's image. So we recalled the product and lost a lot of money. I tell you, the only people with red faces were us. Since then, we've kept away from skin care products.
So, what was the problem with our new product?	It was making red marks on peoples faces.
How did you manage it?	We recalled the product.
Hello. May I speak to Mr. Kim, Managing Director.	Who's calling, sir?
This is David from Santa Monica.	He is on the other line. Do you mind holding for a moment?
What is your budget?	It's $250 a day. How much is a hotel room?
It's $250 a day. How much is a hotel room?	Between $150 and $300. How many days are you staying there?
Three days.	Where are you working?
Where are you working?	I'm working at the Rockefeller Center.
How many jobs have you had since leaving university?	I've worked for six companies.
Why have you changed jobs so often?	I wanted to earn more money.
What have you done that shows leadership?	I lead the sales team.
What are your strengths?	I'm good at training sales staff and I get along well with people.
How long was he at the company?	He worked with me for five years.
What was his problem as a manager?	He didn't know how to motivate staff.
Why should companies be ethical?	I think that companies are part of society and as such they should reflect society's standards.
Should a company have a code of ethics?	If a company has a code of ethics, it does actually contribute to it's ethical behavior.
Do you think leaders are born or made?	I think it's probably a bit of both.
Why don't we change the menus?	Yes, money is very tight at the moment.
We need to decide exactly when we're going to move. Any suggestions?	I don't think I like the idea very much.
Have you paid the invoice for the last shipment?	I'm afraid we haven't managed it yet.
I think July would be the best time.	That's a good idea.
Is there any problem?	What about having a no-smoking policy?
What discount can you offer us?	On 500, nothing.
Do the prices include insurance?	If you can increase your order, then we'd be willing to cover insurance as well.
We've had a lot of orders already and good comments from customers.	What about the new range of shampoos?
What do you have to do to prepare a presentation?	The most important thing is to know about the audience.
I'm really pleased to hear that.	Well, we had a very successful product launch.
How do you feel about offering him a full time contract?	I'm not sure we should do it really.
Did you manage to keep the complaints quiet?	No, all this was harming the company's image. So we recalled the product and lost a lot of money.
So, what was the problem?	Suddenly the number of complaints doubled in a week or so.
Hello John, how are you?	Fine, Thank you. How are you?
I am fine too. Benjamin, meet Mr. John, my cousin. John, meet my friend, Benjamin.	How do you do?
How do you do?	Benjamin, yesterday I saw your brother going to St.MARTIN's hospital. What's the matter?
My father has been admitted there. He had a mild heart attack.	How sad! It's very unfortunate.
Oh! How is he now?	He's still in the hospital. But the doctor says that there is nothing to worry.
Thank God!	I wish him a speedy recovery. Hope he'll get well soon.
I hope so too. See you later.	See you. Bye!
See you. Bye!	See you again. Bye!
Good morning, Mrs Rossi.	Good morning, Mr Bean. How are you?
I'm fine thanks, and you?	Not too bad. Mr Bean, this is my husband Michael, Michael this is Mr Bean, my English teacher.
Pleased to meet you.	Pleased to meet you too. Are you from France, Mr Rossi?
Yes, from Paris. And you, are you from London?	No, I'm from Derby, but I live in London now.
Well, goodbye Mr Bean, it was nice to see you.	Yes, goodbye.
Why are you late? Can't you come on time?	Sorry, sir. I saw a tragic sight on my way to school.
Oh, what happened? Why is your shirt bloodstained?	Sir, a dog was lying on the road in a pool of blood. It was hurt and groaning with pain. It must have been hit by a vehicle. There was nobody around.
What did you do then?	I took it to the veterinary doctor. He nursed the wounds and offered to take it to the Red Cross.
I took it to the veterinary doctor. He nursed the wounds and offered to take it to the Red Cross.	Very good, George. What you've done is a good service. Children, be kind to animals. Do not harm them.
Hello. My name's Peter. What's your name?	Janet. Pleased to meet you.
Pleased to meet you. Where are you from, Janet?	I'm from Milano. Where are you from?
I'm from New York.	Are you American?
Yes, I am. Are you Italian?	Yes I am. What's your surname?
Smith. And what's your surname?	Rossi. What's your job?
I'm a teacher.	I'm a lawyer. What's your address?
34 White Street. How old are you?	I'm 21. Are you married?
Yes, I am. Excuse me, can you tell me the time, please?	Yes, of course. It's seven o'clock.
Thank you, Janet. See you soon, then.	Bye bye, Peter. Have a nice evening.
Can I help you?	Yes, please, I'm looking for a sweater.
What size are you?	I'm an extra large.
How about this one?	Yes, that's nice. Can I try it on?
Certainly, there's the changing rooms over there.	Thank you.
How does it fit?	It's too large. Do you have a large?
Yes, here you are.	Thank you. I'll have it, please.
OK, how would you like to pay?	Do you take credit cards?
